"customer_number","customer_key","full_name","age","age_group","customer_segment","total_orders","total_products","total_quantity","total_sales","last_order_date","recency","lifespan","avg_order_value","avg_monthly_spending"
"AW00011198","199","Brooke Sanders","72","50+","New","2","4","4","98","2013-02-13","0","0","49","0.00"
"AW00011199","200","Jacqueline Bennett","67","50+","New","2","6","6","132","2013-10-17","4","6","66","22.00"
"AW00011200","201","Jason Griffin","71","50+","New","27","26","55","1461","2014-01-20","1","11","54","132.82"
"AW00011201","202","Amanda Foster","72","50+","New","2","6","6","181","2013-09-09","5","2","90","90.50"
"AW00011202","203","Alexia Price","66","50+","New","2","3","3","74","2013-09-21","5","0","37","0.00"
"AW00011203","204","Luis Diaz","65","50+","New","17","19","32","800","2013-12-11","2","9","47","88.89"
"AW00011204","205","Destiny Rivera","71","50+","New","2","4","4","77","2013-11-10","3","3","38","25.67"
"AW00011205","206","Abby Fernandez","71","50+","New","2","2","2","37","2013-10-08","4","2","18","18.50"
"AW00011206","207","Blake Flores","70","50+","New","2","4","4","77","2013-05-30","9","0","38","0.00"
"AW00011207","208","Danielle Cox","71","50+","New","2","4","4","77","2013-10-18","4","8","38","9.63"
"AW00011208","209","Maria Reed","71","50+","New","2","7","7","134","2013-09-17","5","6","67","22.33"
"AW00011209","210","Allison Evans","71","50+","New","2","2","2","37","2014-01-22","1","9","18","4.11"
"AW00011210","211","Edward Wood","71","50+","New","2","5","5","70","2013-09-06","6","4","35","17.50"
"AW00011211","212","Samantha Russell","64","50+","New","17","22","33","792","2014-01-07","2","11","46","72.00"
"AW00011212","213","Chloe Campbell","69","50+","New","17","20","33","824","2014-01-17","1","11","48","74.91"
"AW00011213","214","Stephanie Murphy","70","50+","New","2","4","4","77","2013-09-09","5","5","38","15.40"
"AW00011214","215","Charles Miller","69","50+","New","2","4","4","162","2013-11-19","3","3","81","54.00"
"AW00011215","216","Ana Perry","63","50+","New","17","21","32","1154","2013-12-15","2","10","67","115.40"
"AW00011216","217","Jasmine Torres","69","50+","VIP","2","5","5","5948","2013-02-05","1","17","2974","349.88"
"AW00011217","218","Natalie Adams","69","50+","VIP","2","3","3","5953","2013-02-14","0","18","2976","330.72"
"AW00011218","219","Olivia Brown","63","50+","New","2","2","3","39","2014-01-04","2","10","19","3.90"
"AW00011219","220","Charles Cook","68","50+","New","2","2","3","39","2014-01-24","1","2","19","19.50"
"AW00011220","221","Erica Huang","64","50+","New","2","4","4","50","2013-12-13","2","8","25","6.25"
"AW00011221","222","Nathan Perry","69","50+","New","2","4","4","46","2013-10-17","4","6","23","7.67"
"AW00011222","223","Alexandra Rivera","69","50+","New","2","6","6","208","2013-11-28","3","0","104","0.00"
"AW00011223","224","Hailey Patterson","67","50+","New","27","26","55","1193","2014-01-06","2","11","44","108.45"
"AW00011224","225","Tiffany Li","68","50+","VIP","3","5","5","6685","2013-12-03","3","27","2228","247.59"
"AW00011225","226","Madison Lee","63","50+","New","2","5","5","73","2013-09-06","6","2","36","36.50"
"AW00011226","227","Sydney Ross","62","50+","New","2","2","2","37","2013-03-31","11","1","18","37.00"
"AW00011227","228","Marshall Chavez","62","50+","VIP","2","5","5","5910","2013-02-10","0","18","2955","328.33"
"AW00011228","229","Ashley Jones","68","50+","New","2","4","4","77","2014-01-17","1","2","38","38.50"
"AW00011229","230","Adrian Stewart","67","50+","New","2","5","5","81","2014-01-25","1","5","40","16.20"
"AW00011230","231","Amber Turner","68","50+","New","2","5","5","54","2013-12-09","2","4","27","13.50"
"AW00011231","232","Dennis Zhang","61","50+","New","2","4","4","64","2013-11-12","3","9","32","7.11"
"AW00011232","233","Hailey Bryant","66","50+","New","2","2","3","39","2013-11-13","3","1","19","39.00"
"AW00011233","234","Todd Li","61","50+","New","2","7","7","179","2013-06-08","8","4","89","44.75"
"AW00011234","235","Anna Griffin","66","50+","New","2","4","4","76","2013-09-19","5","7","38","10.86"
"AW00011235","236","Angel Stewart","67","50+","New","2","5","6","138","2014-01-05","2","6","69","23.00"
"AW00011236","237","Jeremy Butler","67","50+","New","2","5","5","114","2014-01-06","2","3","57","38.00"
"AW00011237","238","Clarence Anand","60","50+","VIP","4","6","6","10566","2013-11-25","3","26","2641","406.38"
"AW00011238","239","Mayra Prasad","61","50+","VIP","4","9","9","7543","2013-04-30","10","27","1885","279.37"
"AW00011239","240","Latoya Goel","55","50+","VIP","4","11","11","7511","2013-05-28","9","28","1877","268.25"
"AW00011240","241","Anne Hernandez","60","50+","VIP","4","10","13","7586","2013-05-13","9","26","1896","291.77"
"AW00011241","242","Lisa Cai","50","50+","VIP","7","20","25","11468","2013-10-29","4","13","1638","882.15"
"AW00011242","243","Larry Munoz","61","50+","VIP","7","12","12","11067","2013-12-04","3","14","1581","790.50"
"AW00011243","244","Robin Alvarez","61","50+","VIP","4","10","12","7164","2013-06-09","8","27","1791","265.33"
"AW00011244","245","Alexis Coleman","56","50+","VIP","4","11","12","7175","2013-07-19","7","29","1793","247.41"
"AW00011245","246","Ricky Vazquez","62","50+","VIP","4","9","9","10580","2013-12-11","2","26","2645","406.92"
"AW00011246","247","Latasha Rubio","62","50+","VIP","4","7","7","10575","2013-12-20","2","26","2643","406.73"
"AW00011247","248","Claudia Zhou","63","50+","VIP","4","11","12","7131","2013-08-17","6","29","1782","245.90"
"AW00011248","249","Tristan Alexander","58","50+","New","1","3","3","38","2013-07-14","7","0","38","0.00"
"AW00011249","250","Cindy Patel","58","50+","VIP","4","11","11","9890","2013-09-15","5","23","2472","430.00"
"AW00011250","251","Shannon Liu","58","50+","VIP","4","10","11","7115","2013-08-06","7","28","1778","254.11"
"AW00011251","252","Xavier Long","87","50+","New","1","4","4","2319","2013-10-18","4","0","2319","0.00"
"AW00011252","253","Nicholas Thompson","87","50+","VIP","3","7","7","6685","2013-12-18","2","28","2228","238.75"
"AW00011253","254","José Hernandez","75","50+","New","16","16","30","695","2013-12-03","3","9","43","77.22"
"AW00011254","255","Johnathan Vance","86","50+","New","2","9","9","204","2013-12-14","2","0","102","0.00"
"AW00011255","256","Colin Lin","86","50+","New","2","5","5","114","2013-03-31","11","1","57","114.00"
"AW00011256","257","Katelyn Hernandez","85","50+","New","2","5","5","81","2013-10-16","4","6","40","13.50"
"AW00011257","258","Jacqueline Powell",NULL,"50+","VIP","3","6","6","6676","2013-12-14","2","27","2225","247.26"
"AW00011258","259","Xavier Hill","86","50+","New","2","4","4","49","2013-07-15","7","1","24","49.00"
"AW00011259","260","Victoria Stewart","54","50+","VIP","3","5","5","6770","2013-12-20","2","27","2256","250.74"
"AW00011260","261","Katelyn Kelly","48","40-49","New","2","5","5","81","2013-06-23","8","4","40","20.25"
"AW00011261","262","Stephanie Collins","54","50+","VIP","3","4","4","6650","2013-12-23","2","26","2216","255.77"
"AW00011262","263","Jennifer Simmons","49","40-49","New","27","26","63","1124","2014-01-22","1","10","41","112.40"
"AW00011263","264","Trinity Richardson","54","50+","VIP","3","9","9","6753","2013-12-10","2","27","2251","250.11"
